state,county,tract,Population with personal vehicle
17,031,250200,825.0
17,031,250700,1730.0
17,031,251300,718.0
17,031,250600,1313.0
17,031,251100,920.0
17,031,252000,933.0
17,031,250500,2871.0
17,031,251000,262.0
17,031,250800,675.0
17,031,251700,384.0
17,031,250300,1368.0
17,031,251500,543.0
17,031,251900,818.0
17,031,251400,1005.0
17,031,252101,271.0
17,031,252102,1505.0
17,031,252201,564.0
17,031,252202,782.0
17,031,250400,1377.0
17,031,251600,603.0
17,031,251800,884.0
17,031,251200,1261.0
