state,county,tract,Population with personal vehicle
17,031,060100,1137.0
17,031,060200,682.0
17,031,060300,1176.0
17,031,060400,1210.0
17,031,060500,254.0
17,031,060800,1431.0
17,031,060900,1435.0
17,031,061000,438.0
17,031,061100,539.0
17,031,061200,819.0
17,031,061500,711.0
17,031,061800,190.0
17,031,062000,836.0
17,031,062100,943.0
17,031,062200,1390.0
17,031,062300,315.0
17,031,062400,601.0
17,031,062500,499.0
17,031,062600,868.0
17,031,062700,982.0
17,031,062800,1150.0
17,031,062900,866.0
17,031,063000,1062.0
17,031,063100,578.0
17,031,063200,1210.0
17,031,063400,600.0
