state,county,tract,Population with personal vehicle
17,031,030101,642.0
17,031,030102,753.0
17,031,030103,378.0
17,031,030104,252.0
17,031,030200,1903.0
17,031,030300,745.0
17,031,030400,853.0
17,031,030500,1591.0
17,031,030601,670.0
17,031,030603,465.0
17,031,030604,701.0
17,031,030701,301.0
17,031,030702,541.0
17,031,030703,526.0
17,031,030706,447.0
17,031,030800,999.0
17,031,030900,664.0
17,031,031000,1268.0
17,031,031100,1253.0
17,031,031200,936.0
17,031,031300,1477.0
17,031,031400,1202.0
17,031,031501,955.0
17,031,031502,677.0
17,031,031700,1879.0
17,031,031800,414.0
17,031,031900,521.0
17,031,032100,1251.0
