state,county,tract,Population with personal vehicle
17,031,240700,561.0
17,031,241000,602.0
17,031,240600,534.0
17,031,243400,806.0
17,031,241100,1134.0
17,031,242000,1602.0
17,031,242100,1140.0
17,031,242300,1270.0
17,031,240200,548.0
17,031,241400,1213.0
17,031,242400,1008.0
17,031,242500,1172.0
17,031,242600,2039.0
17,031,242700,559.0
17,031,243100,609.0
17,031,240500,823.0
17,031,240900,233.0
17,031,242200,1214.0
17,031,243500,1069.0
17,031,241200,498.0
17,031,242800,486.0
17,031,243200,725.0
17,031,240300,340.0
17,031,241300,483.0
17,031,241500,687.0
17,031,241600,1010.0
17,031,240800,511.0
17,031,243000,779.0
17,031,243300,686.0
17,031,242900,648.0
