state,county,tract,Total population 2020
17,031,250200,2779.0
17,031,250300,4742.0
17,031,250400,5789.0
17,031,250500,7315.0
17,031,250600,4203.0
17,031,250700,5932.0
17,031,250800,2432.0
17,031,251000,1075.0
17,031,251100,4468.0
17,031,251200,3910.0
17,031,251300,5098.0
17,031,251400,3986.0
17,031,251500,4342.0
17,031,251600,3522.0
17,031,251700,1347.0
17,031,251800,5101.0
17,031,251900,5387.0
17,031,252000,5646.0
17,031,252101,1502.0
17,031,252102,6187.0
17,031,252201,2940.0
17,031,252202,4783.0
