state,county,tract,Total population 2010
17,031,060100,2569
17,031,060200,2111
17,031,060300,2839
17,031,060400,3370
17,031,060500,1309
17,031,060800,4837
17,031,060900,6867
17,031,061000,1647
17,031,061100,1379
17,031,061200,1889
17,031,061500,1707
17,031,061800,1112
17,031,061901,3433
17,031,061902,4240
17,031,062000,2569
17,031,062100,3436
17,031,062200,2870
17,031,062300,1513
17,031,062400,1421
17,031,062500,1497
17,031,062600,2226
17,031,062700,2724
17,031,062800,3506
17,031,062900,3976
17,031,063000,2973
17,031,063100,2173
17,031,063200,6345
17,031,063301,2641
17,031,063302,3996
17,031,063303,1201
17,031,063400,2180
