state,county,tract,Total population 2020
17,031,220300,2207.0
17,031,220400,2579.0
17,031,220500,2751.0
17,031,220601,1635.0
17,031,220602,4877.0
17,031,220701,2920.0
17,031,220702,3653.0
17,031,220901,2903.0
17,031,220902,2959.0
17,031,221000,2432.0
17,031,221100,4440.0
17,031,221200,2954.0
17,031,221300,3062.0
17,031,221400,3385.0
17,031,221500,2909.0
17,031,221600,3159.0
17,031,222200,2156.0
17,031,222500,1415.0
17,031,222600,1599.0
17,031,222700,2082.0
17,031,222800,960.0
17,031,222900,1089.0
