state,county,tract,Total population 2010
17,031,030101,3893
17,031,030102,3204
17,031,030103,1928
17,031,030104,3681
17,031,030200,5369
17,031,030300,3322
17,031,030400,2684
17,031,030500,6395
17,031,030601,4012
17,031,030603,2095
17,031,030604,2976
17,031,030701,1549
17,031,030702,1630
17,031,030703,2830
17,031,030706,3599
17,031,030800,4326
17,031,030900,3028
17,031,031000,3656
17,031,031100,4402
17,031,031200,5648
17,031,031300,7076
17,031,031400,5150
17,031,031501,4083
17,031,031502,4354
17,031,031700,6570
17,031,031800,1820
17,031,031900,2304
17,031,032100,7052
