state,county,tract,Total population 2020
17,031,240200,1556.0
17,031,240300,1362.0
17,031,240500,2610.0
17,031,240600,1489.0
17,031,240700,1499.0
17,031,240800,1687.0
17,031,240900,1122.0
17,031,241000,2363.0
17,031,241100,3574.0
17,031,241200,1714.0
17,031,241300,1848.0
17,031,241400,5273.0
17,031,241500,2954.0
17,031,241600,3534.0
17,031,242000,4692.0
17,031,242100,3976.0
17,031,242200,4082.0
17,031,242300,3568.0
17,031,242400,2902.0
17,031,242500,3426.0
17,031,242600,5665.0
17,031,242700,1938.0
17,031,242800,1507.0
17,031,242900,1962.0
17,031,243000,2234.0
17,031,243100,2249.0
17,031,243200,2287.0
17,031,243300,2431.0
17,031,243400,2880.0
17,031,243500,4746.0
